woonplaats,gemeente,provincie
De Trieme,Noardeast-Friesland,Friesland
De Veenhoop,Smallingerland,Friesland
De Waal,Texel,Noord-Holland
De Weere,Opmeer,Noord-Holland
De Westereen,Dantumadiel,Friesland
De Wilgen,Smallingerland,Friesland
De Wilp,Westerkwartier,Groningen
De Zilk,Noordwijk,Zuid-Holland
Dearsum,Súdwest-Friesland,Friesland
Dedemsvaart,Hardenberg,Overijssel
Dedgum,Súdwest-Friesland,Friesland
Deelen,Ede,Gelderland
Deest,Druten,Gelderland
Deil,West Betuwe,Gelderland
Deinum,Waadhoeke,Friesland
Delden,Hof van Twente,Overijssel
Delfgauw,Pijnacker-Nootdorp,Zuid-Holland
Delfstrahuizen,De Fryske Marren,Friesland
Delft,Delft,Zuid-Holland
Delfzijl,Eemsdelta,Groningen
Delwijnen,Zaltbommel,Gelderland
Demen,Oss,Noord-Brabant
Den Andel,Het Hogeland,Groningen
Den Bommel,Goeree-Overflakkee,Zuid-Holland
Den Burg,Texel,Noord-Holland
Den Dolder,Zeist,Utrecht
Den Dungen,Sint-Michielsgestel,Noord-Brabant
Den Ham,Westerkwartier,Groningen
Den Ham,Twenterand,Overijssel
Den Helder,Den Helder,Noord-Holland
Den Hoorn,Texel,Noord-Holland
Den Hoorn,Midden-Delfland,Zuid-Holland
Den Horn,Westerkwartier,Groningen
Den Hout,Oosterhout,Noord-Brabant
Den Ilp,Landsmeer,Noord-Holland
Den Oever,Hollands Kroon,Noord-Holland
Den Velde,Hardenberg,Overijssel
Denekamp,Dinkelland,Overijssel
Deurne,Deurne,Noord-Brabant
Deurningen,Dinkelland,Overijssel
Deurningen,Oldenzaal,Overijssel
Deursen-Dennenburg,Oss,Noord-Brabant
Deurze,Aa en Hunze,Drenthe
Deventer,Deventer,Overijssel
Didam,Montferland,Gelderland
Dieden,Oss,Noord-Brabant
Diemen,Diemen,Noord-Holland
Diepenheim,Hof van Twente,Overijssel
Diepenveen,Deventer,Overijssel
Dieren,Rheden,Gelderland
Diessen,Hilvarenbeek,Noord-Brabant
Diever,Westerveld,Drenthe
Dieverbrug,Westerveld,Drenthe
Diffelen,Hardenberg,Overijssel
Dijken,De Fryske Marren,Friesland
Dinteloord,Steenbergen,Noord-Brabant
Dinxperlo,Aalten,Gelderland
Diphoorn,Coevorden,Drenthe
Dirkshorn,Schagen,Noord-Holland
Dirksland,Goeree-Overflakkee,Zuid-Holland
Dodewaard,Neder-Betuwe,Gelderland
Doenrade,Beekdaelen,Limburg
Doesburg,Doesburg,Gelderland
Doetinchem,Doetinchem,Gelderland
Doeveren,Heusden,Noord-Brabant
Doezum,Westerkwartier,Groningen
Dokkum,Noardeast-Friesland,Friesland
Doldersum,Westerveld,Drenthe
Domburg,Veere,Zeeland
Donderen,Tynaarlo,Drenthe
Dongen,Dongen,Noord-Brabant
Dongjum,Waadhoeke,Friesland
Doniaga,De Fryske Marren,Friesland
Donkerbroek,Ooststellingwerf,Friesland
Doorn,Utrechtse Heuvelrug,Utrecht
Doornenburg,Lingewaard,Gelderland
Doornspijk,Elburg,Gelderland
Doorwerth,Renkum,Gelderland
Dordrecht,Dordrecht,Zuid-Holland
Dorst,Oosterhout,Noord-Brabant
Drachten,Smallingerland,Friesland
Drachten-Azeven,Opsterland,Friesland
Drachtstercompagnie,Smallingerland,Friesland
Dreischor,Schouwen-Duiveland,Zeeland
Drempt,Bronckhorst,Gelderland
Dreumel,West Maas en Waal,Gelderland
Driebergen-Rijsenburg,Utrechtse Heuvelrug,Utrecht
Drieborg,Oldambt,Groningen
Driebruggen,Bodegraven-Reeuwijk,Zuid-Holland
Driehuis NH,Velsen,Noord-Holland
Driehuizen,Alkmaar,Noord-Holland
Driel,Overbetuwe,Gelderland
Driewegen,Borsele,Zeeland
Driezum,Dantumadiel,Friesland
Drijber,Midden-Drenthe,Drenthe
Drimmelen,Drimmelen,Noord-Brabant
Drogeham,Achtkarspelen,Friesland
Drogteropslagen,De Wolden,Drenthe
Drongelen,Altena,Noord-Brabant
Dronryp,Waadhoeke,Friesland
Dronten,Dronten,Flevoland
Drouwen,Borger-Odoorn,Drenthe
Drouwenermond,Borger-Odoorn,Drenthe
Drouwenerveen,Borger-Odoorn,Drenthe
Drunen,Heusden,Noord-Brabant
Druten,Druten,Gelderland
Duiven,Duiven,Gelderland
Duivendrecht,Ouder-Amstel,Noord-Holland
